,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
ID,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,hour_of_day,day_of_week,traffic_volume,date_time
0,None,288.28,0,0,40,Clouds,scattered clouds,9,3,5545,10/2/2012 9:00
1,None,289.36,0,0,75,Clouds,broken clouds,10,3,4516,10/2/2012 10:00
2,None,289.58,0,0,90,Clouds,overcast clouds,11,3,4767,10/2/2012 11:00
3,None,290.13,0,0,90,Clouds,overcast clouds,12,3,5026,10/2/2012 12:00
4,None,291.14,0,0,75,Clouds,broken clouds,13,3,4918,10/2/2012 13:00
5,None,291.72,0,0,1,Clear,sky is clear,14,3,5181,10/2/2012 14:00
6,None,293.17,0,0,1,Clear,sky is clear,15,3,5584,10/2/2012 15:00
7,None,293.86,0,0,1,Clear,sky is clear,16,3,6015,10/2/2012 16:00
8,None,294.14,0,0,20,Clouds,few clouds,17,3,5791,10/2/2012 17:00
9,None,293.1,0,0,20,Clouds,few clouds,18,3,4770,10/2/2012 18:00
10,None,290.97,0,0,20,Clouds,few clouds,19,3,3539,10/2/2012 19:00
11,None,289.38,0,0,1,Clear,sky is clear,20,3,2784,10/2/2012 20:00
12,None,288.61,0,0,1,Clear,sky is clear,21,3,2361,10/2/2012 21:00
13,None,287.16,0,0,1,Clear,sky is clear,22,3,1529,10/2/2012 22:00
14,None,285.45,0,0,1,Clear,sky is clear,23,3,963,10/2/2012 23:00
15,None,284.63,0,0,1,Clear,sky is clear,0,4,506,10/3/2012 0:00
16,None,283.47,0,0,1,Clear,sky is clear,1,4,321,10/3/2012 1:00
17,None,281.18,0,0,1,Clear,sky is clear,2,4,273,10/3/2012 2:00
18,None,281.09,0,0,1,Clear,sky is clear,3,4,367,10/3/2012 3:00
19,None,279.53,0,0,1,Clear,sky is clear,4,4,814,10/3/2012 4:00
20,None,278.62,0,0,1,Clear,sky is clear,5,4,2718,10/3/2012 5:00
21,None,278.23,0,0,1,Clear,sky is clear,6,4,5673,10/3/2012 6:00
22,None,278.12,0,0,1,Clear,sky is clear,8,4,6511,10/3/2012 8:00
23,None,282.48,0,0,1,Clear,sky is clear,9,4,5471,10/3/2012 9:00
24,None,291.97,0,0,1,Clear,sky is clear,12,4,5097,10/3/2012 12:00
25,None,293.23,0,0,1,Clear,sky is clear,13,4,4887,10/3/2012 13:00
26,None,294.31,0,0,1,Clear,sky is clear,14,4,5337,10/3/2012 14:00
27,None,295.17,0,0,1,Clear,sky is clear,15,4,5692,10/3/2012 15:00
28,None,295.13,0,0,1,Clear,sky is clear,16,4,6137,10/3/2012 16:00
29,None,293.66,0,0,20,Clouds,few clouds,18,4,4623,10/3/2012 18:00
30,None,290.65,0,0,20,Clouds,few clouds,19,4,3591,10/3/2012 19:00
31,None,288.19,0,0,20,Clouds,few clouds,20,4,2898,10/3/2012 20:00
32,None,287.1,0,0,1,Clear,sky is clear,21,4,2637,10/3/2012 21:00
33,None,286.25,0,0,1,Clear,sky is clear,22,4,1777,10/3/2012 22:00
34,None,285.26,0,0,1,Clear,sky is clear,23,4,1015,10/3/2012 23:00
35,None,284.55,0,0,1,Clear,sky is clear,0,5,598,10/4/2012 0:00
36,None,283.47,0,0,1,Clear,sky is clear,1,5,369,10/4/2012 1:00
37,None,283.17,0,0,1,Clear,sky is clear,2,5,312,10/4/2012 2:00
38,None,282.04,0,0,1,Clear,sky is clear,3,5,367,10/4/2012 3:00
39,None,281.69,0,0,1,Clear,sky is clear,4,5,835,10/4/2012 4:00
40,None,281.32,0,0,1,Clear,sky is clear,5,5,2726,10/4/2012 5:00
41,None,280.74,0,0,1,Clear,sky is clear,6,5,5689,10/4/2012 6:00
42,None,280.57,0,0,1,Clear,sky is clear,7,5,6990,10/4/2012 7:00
43,None,281.86,0,0,1,Clear,sky is clear,8,5,5985,10/4/2012 8:00
44,None,284.98,0,0,1,Clear,sky is clear,9,5,5309,10/4/2012 9:00
45,None,289.18,0,0,1,Clear,sky is clear,10,5,4603,10/4/2012 10:00
46,None,291.55,0,0,1,Clear,sky is clear,11,5,4884,10/4/2012 11:00
47,None,294.97,0,0,1,Clear,sky is clear,12,5,5104,10/4/2012 12:00
48,None,296.38,0,0,1,Clear,sky is clear,13,5,5178,10/4/2012 13:00
49,None,297.32,0,0,1,Clear,sky is clear,14,5,5501,10/4/2012 14:00
50,None,298.17,0,0,1,Clear,sky is clear,15,5,5713,10/4/2012 15:00
