,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
ID,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letter
0,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8,T
1,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10,I
2,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9,D
3,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8,N
4,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10,G
5,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7,S
6,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10,B
7,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7,A
8,2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7,J
9,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8,M
10,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7,X
11,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8,O
12,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,G
13,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,M
14,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,R
15,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9,F
16,3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8,O
17,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,C
18,6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4,T
19,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7,J
20,1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7,J
21,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8,H
22,3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8,S
23,6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5,O
24,3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6,J
25,6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8,C
26,7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7,M
27,12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6,W
28,6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8,H
29,3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8,G
30,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8,L
31,1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9,L
32,8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4,X
33,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7,B
34,6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7,M
35,4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8,G
36,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,O
37,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8,P
38,4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11,G
39,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8,E
40,5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8,X
41,3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9,E
42,4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9,X
43,4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11,G
44,7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8,V
45,4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8,X
46,5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8,W
47,1,3,2,1,1,7,7,5,6,7,5,10,1,9,3,9,G
48,8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7,R
49,3,9,4,7,2,7,5,6,10,5,6,10,0,9,9,8,S
50,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3,Y
51,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8,L
52,2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,7,Y
